RENGLON,SUB RENGLON,PRODUCTO / SERVICIO,DETALLE / INCLUYE,COSTO BASE,TIPO DE PRECIO
AMENIDADES EXTRAS EN COMBOS,Botones,Botones Promocional,,50,por_estudiante
AMENIDADES EXTRAS EN COMBOS,TERmos,Termos sublimados,,220,por_estudiante
AMENIDADES EXTRAS EN COMBOS,Toallitas,Toallitas Bordadas,,160,por_estudiante
GRATUIDADES PARA COMBOS,Botones,Botones promocionales,,50,por_estudiante
GRATUIDADES PARA COMBOS,LLaveros,Llaveros Sublimables,,50,por_estudiante
GRATUIDADES PARA COMBOS,Termos,Termos Sublimados,,220,por_estudiante
INVESTIDURA,Sesion de fotos en Estudio o en Exterior,Sesion de fotos en Estudio o en Exterior,,580,escalonado
INVESTIDURA,Sesion de fotos de Pre Graduacion,Sesion de fotos de Pre Graduacion,,930,escalonado
INVESTIDURA,Realizacion del Evento,Realizacion del Evento,,2600,escalonado
SALONES,Epic,Epic,,1400,total_grupo
SALONES,Coopnama,Coopnama,,1400,total_grupo
SALONES,Salon Aida Porta Latin,Salon Aida Porta Latin,,1400,total_grupo
SALONES,Auditorio Biblioteca Nacional,Auditorio Biblioteca Nacional,,1400,total_grupo
SALONES,Auditorio La Fama,Auditorio La Fama,,1400,total_grupo
SALONES,Auditorio Casa San Pablo,Auditorio Casa San Pablo,,1400,total_grupo
SALONES,Salon Sambil,Salon Sambil,,1400,total_grupo
SALONES,Hotel Catalonia Ibizza 2do Nivel,Hotel Catalonia Ibizza 2do Nivel,,1400,total_grupo
SALONES,Salon Restauracion MIDE,Salon Restauracion MIDE,,1400,total_grupo
SALONES,Salon Independencia MIDE,Salon Independencia MIDE,,1400,total_grupo
AMENIDADES EXTRAS EN INVESTIDURA,Stand Personalizado,Stand Personalizado,,1400,escalonado
AMENIDADES EXTRAS EN INVESTIDURA,Plataforma 360,Plataforma 360,,1400,escalonado
AMENIDADES EXTRAS EN INVESTIDURA,Esclavina Sublimada,Esclavina Sublimada,,1400,por_estudiante
AMENIDADES EXTRAS EN INVESTIDURA,Esclavina Bordada,Esclavina Bordada,,1400,por_estudiante
AMENIDADES EXTRAS EN INVESTIDURA,Porta Diploma Portada Dura Personalizado,Porta Diploma Portada Dura Personalizado,,1400,por_estudiante
AMENIDADES EXTRAS EN INVESTIDURA,Porta Diploma Portada Blanda Personalizado,Porta Diploma Portada Blanda Personalizado,,1400,por_estudiante
AMENIDADES EXTRAS EN INVESTIDURA,Picadera Graduando + Padrino,Picadera Graduando + Padrino,,1400,por_estudiante
AMENIDADES EXTRAS EN INVESTIDURA,Picadera Graduando + Invitado,Picadera Graduando + Invitado,,1400,por_estudiante
AMENIDADES EXTRAS EN INVESTIDURA,Mesa de Dulces,Mesa de Dulces,,1400,escalonado
AMENIDADES EXTRAS EN INVESTIDURA,After Partty,After Partty,,1400,escalonado
AMENIDADES EXTRAS EN INVESTIDURA,Solo Sesion en Exterior o de Blanco,Solo Sesion en Exterior o de Blanco,,1400,escalonado
AMENIDADES EXTRAS EN INVESTIDURA,Solo Sesion de Pregraduacion,Solo Sesion de Pregraduacion,,1400,escalonado
LANZAMIENTOS,LANZAMIENTOS,LANZAMIENTOS,"Incluye: Tarima, Techo, Cuadro de Truss con Banner de fondo Personalizado, Stand para fotos con banner de Fondo Personalizado, Sonido Standar (no para artista) y Tecnico, DJ // Animacion, Fotografo y Resumen de fotos, Luces para Ambientacion, Confetti",1400,escalonado
LANZAMIENTOS,LANZAMIENTO TEMATICO,LANZAMIENTO TEMATICO,"Incluye: Decoración Temática , Fondos para Decoracion (1), Estructuras para Decoracion (1), Elementos para Decoración, Luces para Ambientacion, Sonido Standar (no para artista) y Tecnico, DJ // Animacion, Fotografo y Resumen de fotos, Confetti",1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Fondo Personalizado ,Fondo Personalizado ,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Cuadro en Truss,Cuadro en Truss,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Banner persnalizado,Banner persnalizado,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Decoracion a Determinar,Decoracion a Determinar,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Tarima,Tarima,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Techo,Techo,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Hora Loca Standar,Hora Loca Standar,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Hora Loca Primium,Hora Loca Primium,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Show de Motores (3),Show de Motores (3),,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Carros de Exhibicion (2),Carros de Exhibicion (2),,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Filmaker y Resumen de Video,Filmaker y Resumen de Video,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Carpa Maestro Mediana,Carpa Maestro Mediana,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Carpa Invitados Grandes,Carpa Invitados Grandes,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Sonido Full (artista y grandes presentaciones),Sonido Full (artista y grandes presentaciones),,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Drone,Drone,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Plataforma 360,Plataforma 360,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Show de Iluminacion y Efectos Especiales (Moviles y Luces Progrables),Show de Iluminacion y Efectos Especiales (Moviles y Luces Progrables),,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Fuegos Artificiales,Fuegos Artificiales,,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,Fondos para Decoracion (1),Fondos para Decoracion (1),,1400,escalonado
AMENIDADES EXTRAS LANZAMIENTOS,"Estructuras para Decoracion (1),","Estructuras para Decoracion (1),",,1400,escalonado
